Date,maxT,minT,prcpt,rDate,year,month,droughtThresh,droughtPeriod,periodCount,drought
17/05/77,10.5,2.4,0,1977-05-17,1977,May,1,Start,19,Drought start
5/06/77,14.6,13.56,2.6,1977-06-05,1977,Jun,0,End,,Drought end
1/05/80,8.9,4.6,0,1980-05-01,1980,May,1,Start,19,Drought start
20/05/80,20.9,9,4.2,1980-05-20,1980,May,0,End,,Drought end
24/08/81,18,10.5,0,1981-08-24,1981,Aug,1,Start,15,Drought start
8/09/81,21.2,13.5,1,1981-09-08,1981,Sep,0,End,,Drought end
20/04/84,14,8.3,0,1984-04-20,1984,Apr,1,Start,21,Drought start
11/05/84,10.2,3.1,5.7,1984-05-11,1984,May,0,End,,Drought end
9/08/84,17.4,8.8,0,1984-08-09,1984,Aug,1,Start,20,Drought start
29/08/84,20.5,12.3,3,1984-08-29,1984,Aug,0,End,,Drought end
12/10/85,12.6,2.9,0,1985-10-12,1985,Oct,1,Start,20,Drought start
1/11/85,7.5,1.1,5.9,1985-11-01,1985,Nov,0,End,,Drought end
24/11/89,2.9,-2.3,0,1989-11-24,1989,Nov,1,Start,18,Drought start
12/12/89,3.9,-1,5,1989-12-12,1989,Dec,0,End,,Drought end
29/08/91,19,9.5,0,1991-08-29,1991,Aug,1,Start,17,Drought start
15/09/91,19.6,11,2.9,1991-09-15,1991,Sep,0,End,,Drought end
27/11/91,10,4.5,0,1991-11-27,1991,Nov,1,Start,19,Drought start
16/12/91,4.4,1,0.8,1991-12-16,1991,Dec,0,End,,Drought end
11/06/92,18.6,9.7,0,1992-06-11,1992,Jun,1,Start,20,Drought start
1/07/92,19.1,12.9,6.5,1992-07-01,1992,Jul,0,End,,Drought end
25/04/95,12,6.4,0,1995-04-25,1995,Apr,1,Start,18,Drought start
13/05/95,7.3,0.4,0.2,1995-05-13,1995,May,0,End,,Drought end
19/06/95,15,8.1,0,1995-06-19,1995,Jun,1,Start,15,Drought start
4/07/95,15.1,8.7,0.2,1995-07-04,1995,Jul,0,End,,Drought end
23/07/95,16.4,10,0,1995-07-23,1995,Jul,1,Start,21,Drought start
13/08/95,24.4,13.3,1.1,1995-08-13,1995,Aug,0,End,,Drought end
22/05/97,9.3,4.4,0,1997-05-22,1997,May,1,Start,15,Drought start
6/06/97,20.5,12.2,0.8,1997-06-06,1997,Jun,0,End,,Drought end
2/05/00,15,3.2,0,2000-05-02,2000,May,1,Start,15,Drought start
17/05/00,17.8,5.6,3.4,2000-05-17,2000,May,0,End,,Drought end
11/09/02,18.5,4.7,0,2002-09-11,2002,Sep,1,Start,15,Drought start
26/09/02,14.1,7.9,4,2002-09-26,2002,Sep,0,End,,Drought end
13/03/03,6.1,1.3,0,2003-03-13,2003,Mar,1,Start,19,Drought start
1/04/03,12.7,5.6,8.8,2003-04-01,2003,Apr,0,End,,Drought end
3/04/03,8.9,2.4,0.1,2003-04-03,2003,Apr,1,Start,18,Drought start
21/04/03,10,4,7.4,2003-04-21,2003,Apr,0,End,,Drought end
16/04/11,12.9,5.5,0,2011-04-16,2011,Apr,1,Start,20,Drought start
6/05/11,17.1,9,2.3,2011-05-06,2011,May,0,End,,Drought end
2/07/13,19.7,10.3,0,2013-07-02,2013,Jul,1,Start,18,Drought start
20/07/13,24.7,14.4,21.9,2013-07-20,2013,Jul,0,End,,Drought end
22/06/18,15.5,7.4,0,2018-06-22,2018,Jun,1,Start,21,Drought start
13/07/18,20.4,12.5,3.7,2018-07-13,2018,Jul,0,End,,Drought end
8/04/19,11.3,6.1,0,2019-04-08,2019,Apr,1,Start,17,Drought start
25/04/19,15.8,5.5,5.1,2019-04-25,2019,Apr,0,End,,Drought end
